entropy,numDigits,urlLength,numParams,hasHttp,hasHttps,urlIsLive,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,ext,dsr,dse,sscr,sbr,bscr,num_%20,num_@,has_ip,Class
-4.282413467,6,91,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.617990875,10,70,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,article>august,0,0,0,0,0,0,0,0,normal_url
-4.329320154,6,110,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.706446892,6,78,0,TRUE,FALSE,FALSE,246796,104,90,297,30059,56118,htmlyour,0,0,0.535639189,0.12179695,0.227386181,0,0,0,normal_url
-4.461085854,0,61,0,TRUE,FALSE,FALSE,246739,104,90,297,30002,56118,com,0,0,0.534623472,0.121594073,0.227438711,0,0,0,normal_url
-4.474342813,8,117,0,TRUE,FALSE,FALSE,86491,1,2,35,24519,16872,com,0,0,1.453236131,0.283486143,0.19507232,0,0,0,normal_url
-4.648876007,20,93,7,TRUE,FALSE,FALSE,0,0,0,0,0,0,"3&cj1""styleedisplay:none""",0,0,0,0,0,0,0,0,normal_url
-4.745269895,12,111,0,TRUE,FALSE,FALSE,71896,0,10,133,67523,20418,html?breadcrumb°,0,0,3.30703301,0.939176032,0.283993546,0,0,0,normal_url
-4.346318069,0,96,0,TRUE,FALSE,FALSE,4921,10,0,110,2245,1012,net,0,0,2.218379447,0.456208088,0.205649258,0,0,0,normal_url
-4.421441945,14,70,0,TRUE,FALSE,FALSE,39872,4,11,92,29649,11621,htmlcopyright,0,0,2.55132949,0.743604535,0.291457665,0,0,0,normal_url
-3.708132065,1,23,0,TRUE,FALSE,FALSE,24752,5,2,22,14649,7207,me,0,0,2.032607187,0.591830963,0.29116839,0,0,0,normal_url
-4.689390221,9,67,0,TRUE,FALSE,FALSE,8825,32,42,209,3627,1898,pdfthis,0,0,1.910958904,0.410991501,0.215070822,0,0,0,normal_url
-4.483875049,4,57,0,TRUE,FALSE,FALSE,164,1,0,0,0,28,asp?id2034preliminary,0,0,0,0,0.170731707,0,0,0,normal_url
-4.9871594,60,193,3,TRUE,FALSE,FALSE,145,2,0,0,0,64,aspx?objectnews&ide3dffc8f-9d5a-4a54-bbcd-74ce90361c62&layoutidb05ef124-0db1-4d33-bob6-90f50139044b&categoryld832a711b-95fe-4505-8aa3-38f5e17309c9province,0,0,0,0,0.44137931,0,0,0,normal_url
-4.249331363,5,67,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,bctprovince,0,0,0,0,0,0,0,0,normal_url
-4.459797934,7,82,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmurban,0,0,0,0,0,0,0,0,normal_url
-4.510383097,8,60,0,TRUE,FALSE,FALSE,20729,6,3,72,10255,6031,com,0,0,1.700381363,0.494717545,0.290945053,0,0,0,normal_url
-3.322179346,0,22,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,independent,0,0,0,0,0,0,0,0,normal_url
-4.352462118,4,59,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.53104268,6,64,0,TRUE,FALSE,FALSE,8731,10,5,28,6017,2377,ht,0,0,2.531342028,0.689153591,0.272248311,0,0,0,normal_url
-4.337823049,0,84,0,TRUE,FALSE,FALSE,4910,1,2,19,4559,1456,com,0,0,3.131181319,0.928513238,0.296537678,0,0,0,normal_url
-4.27792609,3,41,0,TRUE,FALSE,FALSE,7567,17,18,85,4209,1909,com,0,0,2.204819277,0.556231003,0.252279635,0,0,0,normal_url
-4.188854659,3,61,0,TRUE,FALSE,FALSE,36853,1,2,88,33690,11589,jsp?pid154,0,0,2.907067046,0.914172523,0.314465579,0,0,0,normal_url
-4.150222422,2,60,0,TRUE,FALSE,FALSE,36852,1,2,88,33690,11589,jsp?sid90,0,0,2.907067046,0.91419733,0.314474113,0,0,0,normal_url
-4.099128821,0,39,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,org,0,0,0,0,0,0,0,0,normal_url
-4.684346543,18,104,0,TRUE,FALSE,FALSE,100827,0,41,109,74696,26810,com,0,0,2.78612458,0.740833309,0.265900999,0,0,0,normal_url
-4.515381944,11,119,0,TRUE,FALSE,FALSE,135803,4,6,101,17283,39110,com,0,0,0.441907441,0.12726523,0.287990692,0,0,0,normal_url
-4.553535579,11,117,0,TRUE,FALSE,FALSE,135803,4,6,101,17283,39110,com,0,0,0.441907441,0.12726523,0.287990692,0,0,0,normal_url
-4.309513303,17,67,7,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.847548242,27,90,1,TRUE,FALSE,FALSE,56158,2,0,23,43889,14765,w5?a686322&f19,0,0,2.97250254,0.78152712,0.262918907,0,0,0,normal_url
-4.502122853,8,115,0,TRUE,FALSE,FALSE,18259,11,6,92,6867,4868,pdf,0,0,1.41064092,0.376088504,0.266608248,0,0,0,normal_url
-2.663532755,0,11,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.383548663,10,71,0,TRUE,FALSE,FALSE,247929,2,2,33,206036,54104,html?hpdecember,0,0,3.808147272,0.831028238,0.218223766,0,0,0,normal_url
-4.402515021,8,56,0,TRUE,FALSE,FALSE,36947,33,18,141,17889,9683,com,0,0,1.847464629,0.484180042,0.262078112,0,0,0,normal_url
-4.365326269,0,69,0,TRUE,FALSE,FALSE,246766,104,90,297,30029,56120,com,0,0,0.535085531,0.121690184,0.22742193,0,0,0,normal_url
-4.366830129,9,60,0,TRUE,FALSE,FALSE,4748,13,0,86,2888,1132,htmlour,0,0,2.551236749,0.608256108,0.238416175,0,0,0,normal_url
-4.515546298,8,114,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,html?story,0,0,0,0,0,0,0,0,normal_url
-4.541014084,17,68,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,html•,0,0,0,0,0,0,0,0,normal_url
-3.928802609,0,37,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,http:,0,0,0,0,0,0,0,0,normal_url
-3.93287436,0,35,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,http:,0,0,0,0,0,0,0,0,normal_url
-4.511935364,12,54,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.681147632,12,100,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.517434178,6,147,0,TRUE,FALSE,FALSE,550,2,0,0,0,98,,0,0,0,0,0.178181818,0,0,0,normal_url
-4.480222045,6,92,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,orecollections,0,0,0,0,0,0,0,0,normal_url
-4.272737538,4,51,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,corn,0,0,0,0,0,0,0,0,normal_url
-4.654750525,9,75,3,TRUE,FALSE,FALSE,15699,3,16,475,1073,2765,xml?releaseld1347&what&strarea;&strtime0hnt,0,0,0.388065099,0.068348302,0.176125868,0,0,0,normal_url
-4.114066203,0,37,0,TRUE,FALSE,FALSE,15699,3,16,475,1073,2765,xml,0,0,0.388065099,0.068348302,0.176125868,0,0,0,normal_url
-4.307210279,2,62,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,corniarticie,0,0,0,0,0,0,0,0,normal_url
-4.600938349,6,81,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,uk,0,0,0,0,0,0,0,0,normal_url
-4.385202652,5,46,0,TRUE,FALSE,FALSE,12292,24,25,172,7059,2901,com,0,0,2.433298862,0.574275952,0.236007159,0,0,0,normal_url
-1.921928095,0,5,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,http:,0,0,0,0,0,0,0,0,normal_url
-4.474805544,8,107,0,TRUE,FALSE,FALSE,20771,6,3,72,10297,6036,com,0,0,1.70593108,0.495739252,0.290597468,0,0,0,normal_url
-4.38040121,6,63,0,TRUE,FALSE,FALSE,20830,9,1,299,7666,6287,html>even,0,0,1.219341498,0.368026884,0.301824292,0,0,0,normal_url
-4.814931168,25,105,0,TRUE,FALSE,FALSE,27429,12,1,366,8213,7643,html#comment-1156672372250588546>,0,0,1.074578045,0.299427613,0.278646688,0,0,0,normal_url
-4.909159859,22,82,4,TRUE,FALSE,FALSE,0,0,0,0,0,0,cfm?newsid20368289&brd2731&pag461&dept_id574908&rfi6>,0,0,0,0,0,0,0,0,normal_url
-4.530998354,17,61,0,TRUE,FALSE,FALSE,160889,3,4,220,156101,45843,com,0,0,3.405121829,0.970240352,0.284935577,0,0,0,normal_url
-4.50819393,4,45,0,TRUE,FALSE,FALSE,1256,0,0,1,0,270,com,0,0,0,0,0.214968153,0,0,0,normal_url
-3.992708771,0,37,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,comk,0,0,0,0,0,0,0,0,normal_url
-4.614086019,16,67,0,TRUE,FALSE,FALSE,3051,0,3,9,2160,955,com,0,0,2.261780105,0.707964602,0.313012127,0,0,0,normal_url
-4.358659712,6,60,0,TRUE,FALSE,FALSE,20818,9,1,299,7654,6286,html>,0,0,1.217626472,0.3676626,0.301950235,0,0,0,normal_url
-4.657821405,8,77,0,TRUE,FALSE,FALSE,31847,32,11,106,20867,8801,html>adds,0,0,2.37098057,0.655226552,0.276352561,0,0,0,normal_url
-4.640100175,16,137,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,html>,0,0,0,0,0,0,0,0,normal_url
-4.471304857,6,75,1,TRUE,FALSE,FALSE,14645,46,41,152,8013,3739,asp?storyld838256&categorystate>,0,0,2.143086387,0.547149198,0.255308979,0,0,0,normal_url
-4.595175521,10,48,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,html>,0,0,0,0,0,0,0,0,normal_url
-4.34025696,6,68,0,TRUE,FALSE,FALSE,20850,9,1,299,7686,6294,html>,0,0,1.221163012,0.368633094,0.301870504,0,0,0,normal_url
-4.697134943,3,98,0,TRUE,FALSE,FALSE,33751,7,10,67,31871,10168,com,0,0,3.134441385,0.944297947,0.301265148,0,0,0,normal_url
-4.358915836,5,76,0,TRUE,FALSE,FALSE,23484,7,1,13,11889,5533,com,0,0,2.1487439,0.506259581,0.235607222,0,0,0,normal_url
-4.655308444,18,75,0,TRUE,FALSE,FALSE,7918,4,0,4,1106,1230,htm>,0,0,0.899186992,0.139681738,0.155342258,0,0,0,normal_url
-4.608793931,18,56,0,TRUE,FALSE,FALSE,571073,18,6,473,426327,164912,html>,0,0,2.585178762,0.746536783,0.288775691,0,0,0,normal_url
-4.253863368,0,38,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,comhthis,0,0,0,0,0,0,0,0,normal_url
-4.512540947,6,94,0,TRUE,FALSE,FALSE,24199,1,9,114,12148,6405,com,0,0,1.896643247,0.502004215,0.264680359,0,0,0,normal_url
-4.114066203,0,37,0,TRUE,FALSE,FALSE,15699,3,16,475,1073,2765,xml,0,0,0.388065099,0.068348302,0.176125868,0,0,0,normal_url
-4.517134906,8,138,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,aspxposted,0,0,0,0,0,0,0,0,normal_url
-4.252421152,6,45,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,orgistory,0,0,0,0,0,0,0,0,normal_url
-4.138830127,6,36,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,alternetorgistory,0,0,0,0,0,0,0,0,normal_url
-4.175123135,0,34,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.174007338,5,79,0,TRUE,FALSE,FALSE,47461,12,15,74,5696,10606,org,0,0,0.537054497,0.120014328,0.223467689,0,0,0,normal_url
-4.58575813,16,161,1,TRUE,FALSE,FALSE,24466,5,2,45,4143,6133,html?_r1&pagewantedprintoctober,0,0,0.675525844,0.169337039,0.250674405,0,0,0,normal_url
-3.615817595,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.646836075,11,66,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,html#ixzz0hqhr4kmx&a,0,0,0,0,0,0,0,0,normal_url
-4.537475475,6,53,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmi,0,0,0,0,0,0,0,0,normal_url
-4.454504784,6,78,0,TRUE,FALSE,FALSE,24199,1,9,114,12148,6405,com,0,0,1.896643247,0.502004215,0.264680359,0,0,0,normal_url
-4.114066203,0,37,0,TRUE,FALSE,FALSE,15699,3,16,475,1073,2765,xml,0,0,0.388065099,0.068348302,0.176125868,0,0,0,normal_url
-4.066323289,10,58,0,TRUE,FALSE,FALSE,1233,0,9,4,132,329,html,0,0,0.401215805,0.107055961,0.266828873,0,0,0,normal_url
-4.594173435,15,101,0,TRUE,FALSE,FALSE,20430,1,0,13,14352,4928,shtml?tagstackjanuary,0,0,2.912337662,0.702496329,0.241213901,0,0,0,normal_url
-4.413863157,16,61,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,normal_url
-4.494890413,16,83,3,TRUE,FALSE,FALSE,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,normal_url
-4.429529778,16,62,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,normal_url
-4.373131513,16,65,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,normal_url
-4.475229281,8,63,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmlday,0,0,0,0,0,0,0,0,normal_url
-4.505431231,8,116,0,TRUE,FALSE,FALSE,119404,7,10,153,38557,28934,com,0,0,1.332584503,0.32291213,0.24232019,0,0,0,normal_url
-4.51997668,3,52,0,TRUE,FALSE,FALSE,603772,0,0,14,599393,113372,thank-you,0,0,5.286957979,0.992747262,0.187772868,0,0,0,normal_url
-4.68637277,9,102,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.614245026,8,84,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.565078451,7,87,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,aspxseptember,0,0,0,0,0,0,0,0,normal_url
-4.583173135,16,131,0,TRUE,FALSE,FALSE,157002,1,5,45,136644,40423,com,0,0,3.380352769,0.870332862,0.257468058,0,0,0,normal_url
-4.31234555,16,57,0,TRUE,FALSE,FALSE,157002,1,5,45,136644,40423,com,0,0,3.380352769,0.870332862,0.257468058,0,0,0,normal_url
-3.606936732,0,22,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com)the,0,0,0,0,0,0,0,0,normal_url
-4.441988837,5,101,0,TRUE,FALSE,FALSE,75872,5,0,149,48109,16422,com,0,0,2.929545731,0.634081084,0.216443484,0,0,0,normal_url
-4.655994779,10,94,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,php#morexr07:hi!!ary,0,0,0,0,0,0,0,0,normal_url
-4.244375809,14,54,0,TRUE,FALSE,FALSE,175178,21,1,120,172519,49595,com,0,0,3.478556306,0.984821153,0.283112035,0,0,0,normal_url
-4.563063298,8,145,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.50915894,7,59,0,TRUE,FALSE,FALSE,949,1,2,7,707,224,com,0,0,3.15625,0.744994731,0.236037935,0,0,0,normal_url
-3.902174814,0,26,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,comurl,0,0,0,0,0,0,0,0,normal_url
-4.666266935,7,58,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.385277459,11,68,0,TRUE,FALSE,FALSE,254,1,1,1,0,56,html[2],0,0,0,0,0.220472441,0,0,0,normal_url
-4.504393128,8,68,0,TRUE,FALSE,FALSE,353,0,0,0,288,83,302053[3],0,0,3.469879518,0.815864023,0.235127479,0,0,0,normal_url
-4.475260635,11,59,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,il,0,0,0,0,0,0,0,0,normal_url
-4.581105483,6,101,0,TRUE,FALSE,FALSE,4919,0,1,2,174,1307,uk,0,0,0.133129304,0.035373043,0.265704411,0,0,0,normal_url
-4.603193029,8,86,0,TRUE,FALSE,FALSE,86557,1,2,35,24585,16878,com,0,0,1.456629932,0.284032487,0.194992895,0,0,0,normal_url
-4.749197813,18,120,0,TRUE,FALSE,FALSE,26624,2,7,179,20438,7237,com,0,0,2.824098383,0.767653245,0.271822416,0,0,0,normal_url
-4.423236858,8,116,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.306732207,6,46,0,TRUE,FALSE,FALSE,51839,11,8,127,7265,10944,com,0,0,0.663834064,0.14014545,0.211115184,0,0,0,normal_url
-4.231058232,6,39,0,TRUE,FALSE,FALSE,51839,11,8,127,7265,10944,com,0,0,0.663834064,0.14014545,0.211115184,0,0,0,normal_url
-4.155639062,3,32,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.42717074,2,78,0,TRUE,FALSE,FALSE,1738,0,0,1,1726,442,uk,0,0,3.904977376,0.993095512,0.254315305,1,0,0,normal_url
-4.556247679,8,79,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.93749369,35,124,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.789012399,18,99,4,TRUE,FALSE,FALSE,0,0,0,0,0,0,ng,0,0,0,0,0,0,0,0,normal_url
-3.614369446,0,18,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,dou,0,0,0,0,0,0,0,0,normal_url
-4.922862589,37,104,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,6.66409E+11,0,0,0,0,0,0,0,0,normal_url
-4.897370417,37,127,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-5.102313585,60,251,6,TRUE,FALSE,FALSE,0,0,0,0,0,0,"4;abrlie4;abrlie5;sz120x600;ordzobmbzbfzndnngnupsw?""&gt;",0,0,0,0,0,0,0,0,normal_url
-4.96018628,39,121,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,"4;abrlie4;abrlie5;sz120x600;ordzobmbzbfzndnngnupsw""",0,0,0,0,0,0,0,0,normal_url
-4.429980736,8,117,1,TRUE,FALSE,FALSE,33,1,0,0,0,4,1,0,0,0,0,0.121212121,0,0,0,normal_url
-4.457715342,8,119,0,TRUE,FALSE,FALSE,20784,6,3,72,10310,6039,com,0,0,1.707236297,0.496054657,0.290560046,0,0,0,normal_url
-4.387350459,4,78,0,TRUE,FALSE,FALSE,38127,12,13,71,3808,8067,org,0,0,0.47204661,0.099876728,0.211582343,0,0,0,normal_url
-4.426962453,6,114,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-5.112848698,57,260,7,TRUE,FALSE,FALSE,0,0,0,0,0,0,"ngitypeclick&amp;flight1d143552&amp;adld165203&amp;targetld42700&amp;values3263&amp;redirect;ordbnzdlpybfzocfybnvaqg?""&gtalt;",0,0,0,0,0,0,0,0,normal_url
-4.379417497,0,49,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,ng,0,0,0,0,0,0,0,0,normal_url
-4.060262039,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-5.037264562,37,119,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,6.66409E+11,0,0,0,0,0,0,0,0,normal_url
-4.749142747,6,95,0,TRUE,FALSE,FALSE,196626,69,92,206,44349,44970,html?viewprintmarch,0,0,0.986190794,0.225550029,0.228708309,0,0,0,normal_url
-4.233574049,12,53,0,TRUE,FALSE,FALSE,31198,3,0,170,7409,7800,htm,0,0,0.949871795,0.237483172,0.250016027,0,0,0,normal_url
-4.309176951,6,69,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.531760898,8,126,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmlamericans,0,0,0,0,0,0,0,0,normal_url
-3.74832866,2,26,0,TRUE,FALSE,FALSE,2857,1,2,4,529,898,ly,0,0,0.58908686,0.185159258,0.314315716,0,0,0,normal_url
-3.787143961,1,19,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,ms,0,0,0,0,0,0,0,0,normal_url
-4.208410187,2,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,ms,0,0,0,0,0,0,0,0,normal_url
-3.594465637,0,21,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,gov),0,0,0,0,0,0,0,0,normal_url
-3.84385619,0,25,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,govand,0,0,0,0,0,0,0,0,normal_url
